#separator:tab
#html:false
Genus_cof_DNP	back_card
Duranta	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Verbenaceae     https://www.gbif.org/species/2925654     https://en.wikipedia.org/wiki/Duranta     https://www.merriam-webster.com/dictionary/Duranta
Pinellia	Plantae - Tracheophyta - Liliopsida - Alismatales - Araceae     https://www.gbif.org/species/2870048     https://en.wikipedia.org/wiki/Pinellia     https://www.merriam-webster.com/dictionary/Pinellia
Xanthoceras	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Sapindaceae     https://www.gbif.org/species/9564431     https://en.wikipedia.org/wiki/Xanthoceras     https://www.merriam-webster.com/dictionary/Xanthoceras
Cyperus	Plantae - Tracheophyta - Liliopsida - Poales - Cyperaceae     https://www.gbif.org/species/2713455     https://en.wikipedia.org/wiki/Cyperus     https://www.merriam-webster.com/dictionary/Cyperus
Metacalypogeia	Plantae - Marchantiophyta - Jungermanniopsida - Jungermanniales - Calypogeiaceae     https://www.gbif.org/species/2689335     https://en.wikipedia.org/wiki/Metacalypogeia     https://www.merriam-webster.com/dictionary/Metacalypogeia
Illicium	Plantae - Tracheophyta - Magnoliopsida - Austrobaileyales - Schisandraceae     https://www.gbif.org/species/2889755     https://en.wikipedia.org/wiki/Illicium     https://www.merriam-webster.com/dictionary/Illicium
Myrrhis	Plantae - Tracheophyta - Magnoliopsida - Apiales - Apiaceae     https://www.gbif.org/species/3034680     https://en.wikipedia.org/wiki/Myrrhis     https://www.merriam-webster.com/dictionary/Myrrhis
Nothosmyrnium	Plantae - Tracheophyta - Magnoliopsida - Apiales - Apiaceae     https://www.gbif.org/species/6026959     https://en.wikipedia.org/wiki/Nothosmyrnium     https://www.merriam-webster.com/dictionary/Nothosmyrnium
Bolusanthus	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2952354     https://en.wikipedia.org/wiki/Bolusanthus     https://www.merriam-webster.com/dictionary/Bolusanthus
Tripterygium	Plantae - Tracheophyta - Magnoliopsida - Celastrales - Celastraceae     https://www.gbif.org/species/3231369     https://en.wikipedia.org/wiki/Tripterygium     https://www.merriam-webster.com/dictionary/Tripterygium
Monteverdia	Plantae - Tracheophyta - Magnoliopsida - Celastrales - Celastraceae     https://www.gbif.org/species/7265474     https://en.wikipedia.org/wiki/Monteverdia     https://www.merriam-webster.com/dictionary/Monteverdia
Kokoona	Plantae - Tracheophyta - Magnoliopsida - Celastrales - Celastraceae     https://www.gbif.org/species/7265657     https://en.wikipedia.org/wiki/Kokoona     https://www.merriam-webster.com/dictionary/Kokoona
Celastrus	Plantae - Tracheophyta - Magnoliopsida - Celastrales - Celastraceae     https://www.gbif.org/species/3169168     https://en.wikipedia.org/wiki/Celastrus     https://www.merriam-webster.com/dictionary/Celastrus
Lannea	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Anacardiaceae     https://www.gbif.org/species/7321650     https://en.wikipedia.org/wiki/Lannea     https://www.merriam-webster.com/dictionary/Lannea
Toxicodendron	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Anacardiaceae     https://www.gbif.org/species/8686559     https://en.wikipedia.org/wiki/Toxicodendron     https://www.merriam-webster.com/dictionary/Toxicodendron
Picrasma	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Simaroubaceae     https://www.gbif.org/species/3190671     https://en.wikipedia.org/wiki/Picrasma     https://www.merriam-webster.com/dictionary/Picrasma
Melicope	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Rutaceae     https://www.gbif.org/species/3190188     https://en.wikipedia.org/wiki/Melicope     https://www.merriam-webster.com/dictionary/Melicope
Helietta	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Rutaceae     https://www.gbif.org/species/3190142     https://en.wikipedia.org/wiki/Helietta     https://www.merriam-webster.com/dictionary/Helietta
Brosimum	Plantae - Tracheophyta - Magnoliopsida - Rosales - Moraceae     https://www.gbif.org/species/2984656     https://en.wikipedia.org/wiki/Brosimum     https://www.merriam-webster.com/dictionary/Brosimum
